test_id,text,expected_facet,predicted_facet_id,predicted_facet_name,expected_status,predicted_status,expected_score,predicted_score,confidence,evidence,reason,retrieval_rank,latency_ms,inference_error
TEST_126,I recover quickly after a stressful event and return to my normal routine.,Stress Recovery Ability,FACET_358,Stress Recovery Ability,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Stress Recovery Ability' was not retrieved in top candidates.,,4.52,
TEST_127,I can usually troubleshoot a technical problem by isolating variables and checking logs.,Troubleshooting technical issues,FACET_359,Troubleshooting technical issues,scored,scored,5.0,4.0,0.9,i can usually troubleshoot a technical problem by isolating ,Extracted clear conversational evidence for Troubleshooting technical issues.,1.0,5.31,
TEST_128,"I don't have access to this person's IQ test result, so I cannot infer their IQ from this sentence.",Intelligence Quotient (IQ),FACET_295,Intelligence Quotient (IQ),not_observable,not_observable,,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_129,I do not have medical records showing whether this person has sleep apnea.,Sleep Apnea,FACET_338,Sleep Apnea,not_observable,not_observable,,,0.99,,"Requires biological, laboratory, or physiological measurement; unobservable from text.",1.0,0.0,
TEST_130,My passport contains stamps from several countries.,Passport-stamps count,FACET_239,Passport-stamps count,scored,not_observable,4.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_131,I take public transport for most of my weekly commute.,Public-transport km/week,FACET_270,Public-transport km/week,scored,not_observable,4.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_132,I go outside for about two hours most days.,Time outdoors/day (h),FACET_341,Time outdoors/day (h),scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_133,I usually cook dinner at home instead of ordering food.,Preference for Home-Cooked vs Restaurant Meals,FACET_244,Preference for Home-Cooked vs Restaurant Meals,scored,scored,5.0,4.0,0.9,i usually cook dinner at home instead of ordering food.,Extracted clear conversational evidence for Preference for Home-Cooked vs Restaurant Meals.,1.0,3.0,
TEST_134,I skip breakfast on most weekdays.,Breakfast-skipping frequency,FACET_324,Breakfast-skipping frequency,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_135,I eat packaged snacks several times every day.,Snacking Behavior,FACET_312,Snacking Behavior,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_136,I rarely eat processed food and usually choose fresh ingredients.,Processed-food frequency,FACET_399,Processed-food frequency,scored,not_observable,1.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_137,I enjoy visiting museums whenever I travel to a new city.,Museum visits/year,FACET_327,Museum visits/year,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_138,I have attended choir rehearsals for three years.,Choir participation years,FACET_328,Choir participation years,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_139,I can delegate tasks by matching them to each person's strengths.,Delegation Ability,FACET_329,Delegation Ability,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Delegation Ability' was not retrieved in top candidates.,,2.44,
TEST_140,I stay calm and collected when several things go wrong at once.,Collectedness,FACET_282,Collectedness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Collectedness' was not retrieved in top candidates.,,1.54,
TEST_141,I prefer to consider the surrounding circumstances before judging someone's action.,Reliance on context,FACET_283,Reliance on context,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Reliance on context' was not retrieved in top candidates.,,5.06,
TEST_142,I am willing to compromise when both sides can gain something.,Tendency Toward Compromise or Confrontation,FACET_278,Tendency Toward Compromise or Confrontation,scored,scored,5.0,4.0,0.9,i am willing to compromise when both sides can gain somethin,Extracted clear conversational evidence for Tendency Toward Compromise or Confrontation.,1.0,3.48,
TEST_143,I take the initiative instead of waiting for someone to assign the task.,Initiative,FACET_255,Initiative,scored,scored,5.0,4.0,0.9,i take the initiative instead of waiting for someone to assi,Extracted clear conversational evidence for Initiative.,1.0,3.47,
TEST_144,"I was scared of the height, but I still completed the climbing exercise safely.",Bravery,FACET_160,Bravery,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Bravery' was not retrieved in top candidates.,,4.02,
TEST_145,I tend to avoid situations because I fear physical danger.,Fearfulness: Fear of physical dangers,FACET_267,Fearfulness: Fear of physical dangers,scored,scored,5.0,4.0,0.9,i tend to avoid situations because i fear physical danger.,Extracted clear conversational evidence for Fearfulness: Fear of physical dangers.,1.0,4.4,
TEST_146,I speak frequently in group discussions and rarely stay silent.,Talkativeness,FACET_263,Talkativeness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Talkativeness' was not retrieved in top candidates.,,4.72,
TEST_147,I try to make sure everyone receives a fair share of the resources.,Equitableness,FACET_264,Equitableness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Equitableness' was not retrieved in top candidates.,,4.61,
TEST_148,I generated twelve possible product ideas during a one-hour brainstorming session.,Ideas generated/day,FACET_265,Ideas generated/day,scored,scored,5.0,4.0,0.9,i generated twelve possible product ideas during a one-hour ,Extracted clear conversational evidence for Ideas generated/day.,1.0,4.54,
TEST_149,My proposed solution was different from the standard approach used by the team.,Originality,FACET_266,Originality,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Originality' was not retrieved in top candidates.,,3.54,
TEST_150,I apologized directly instead of making excuses for my mistake.,Frankness,FACET_187,Frankness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Frankness' was not retrieved in top candidates.,,5.71,
